3,3,0
H10,C12,1910.828849
H11,C12,1935.785269
H1,C13,818.9550969
H2,C13,852.1937658
H3,C13,841.8063507
H4,C13,844.2312366
H5,C13,39.2923267
H6,C13,113.5797286
H7,C13,60.6673777
H8,C13,43.8494765
H9,C13,1458.559621
H12,C13,1658.599363
H10,C13,1535.022331
H11,C13,1559.978751
H1,C14,981.4863047
H2,C14,1014.724974
H3,C14,1004.337559
H4,C14,1006.762444
H5,C14,426.1648687
H6,C14,340.5061449
H7,C14,452.8823209
H8,C14,436.0644198
H9,C14,1060.01223
H12,C14,1260.051972
H10,C14,1136.474939
H11,C14,1161.431359
H1,C15,1060.245415
H2,C15,1093.484084
H3,C15,1083.096669
H4,C15,1085.521555
H5,C15,1616.019364
H6,C15,1530.360641
H7,C15,1642.736817
H8,C15,1625.918916
H9,C15,1214.414325
H12,C15,1414.454067
H10,C15,1290.877035
H11,C15,1315.833455
H1,C16,1332.041958
H2,C16,1365.280626
H3,C16,1354.893211
H4,C16,1357.318097
H5,C16,1887.815907
H6,C16,1802.157183
H7,C16,1914.533359
H8,C16,1897.715458
H9,C16,1486.210867
H12,C16,1686.25061
H10,C16,1562.673577
H11,C16,1587.629997
H1,C17,1658.873284
H2,C17,1692.111953
H3,C17,1681.724538
H4,C17,1684.149424
H5,C17,1103.551848
H6,C17,1017.893125
H7,C17,1130.269301
H8,C17,1113.451399
H9,C17,637.5680704
H12,C17,837.6078128
H10,C17,714.0307802
H11,C17,738.9872001
H1,C18,1802.349508
H2,C18,1835.588177
H3,C18,1825.200762
H4,C18,1827.625648
H5,C18,1247.028072
H6,C18,1161.369348
H7,C18,1273.745525
H8,C18,1256.927623
H9,C18,781.0442943
H12,C18,797.9386769
H10,C18,857.5070041
H11,C18,814.3836055
H1,C19,2076.107071
H2,C19,2109.34574
H3,C19,2098.958325
H4,C19,2101.383211
H5,C19,1520.785635
H6,C19,1435.126912
H7,C19,1547.503088
H8,C19,1530.685187
H9,C19,678.2972066
H12,C19,611.2906818
H10,C19,694.5054687
H11,C19,627.7356105
H1,C20,1843.513747
H2,C20,1876.752416
H3,C20,1866.365001
H4,C20,1868.789886
H5,C20,1603.46337
H6,C20,1517.804647
H7,C20,1630.180823
H8,C20,1613.362922
H9,C20,274.8004968
H12,C20,474.8402392
H10,C20,351.2632066
H11,C20,376.2196265
H1,C7,1745.718114
H2,C7,1778.956783
H3,C7,1768.569368
H4,C7,1770.994254
H5,C7,1505.667738
H6,C7,1420.009014
H7,C7,1532.38519
H8,C7,1515.567289
H9,C7,63.5734783
H12,C7,188.3642323
H10,C7,79.7817404
H11,C7,89.7436196
H1,C21,1175.034442
H2,C21,1208.273111
H3,C21,1197.885696
H4,C21,1200.310582
H5,C21,1730.808392
H6,C21,1645.149668
H7,C21,1757.525844
H8,C21,1740.707943
H9,C21,1329.203352
H12,C21,1529.243095
H10,C21,1405.666062
H11,C21,1430.622482
H1,C22,2026.895533
H2,C22,2060.134202
H3,C22,2049.746787
H4,C22,2052.171673
H5,C22,1786.845157
H6,C22,1701.186433
H7,C22,1813.562609
H8,C22,1796.744708
H9,C22,344.7508977
H12,C22,277.7443729
H10,C22,360.9591598
H11,C22,294.1893015
H1,C23,1652.389461
H2,C23,1685.62813
H3,C23,1675.240715
H4,C23,1677.665601
H5,C23,1412.339085
H6,C23,1326.680361
H7,C23,1439.056537
H8,C23,1422.238636
H9,C23,83.6762109
H12,C23,283.7159533
H10,C23,160.1389207
H11,C23,185.0953406
H1,C24,1980.601312
H2,C24,2013.839981
H3,C24,2003.452566
H4,C24,2005.877451
H5,C24,1425.279876
