origin_id,destination_id,total_cost
H13,C9,1043.666972
H13,C10,779.5650296
H13,C11,548.2199544
H13,C12,678.6121967
H13,C13,807.8900149
H13,C14,255.0335136
H13,C15,2041.669454
H13,C16,2239.448929
H13,C17,668.2945913
H13,C18,919.1425978
H13,C19,1261.16154
H13,C20,1281.292944
H13,C7,1096.936061
H13,C21,2079.276746
H13,C22,1458.256216
H13,C23,1080.694676
H13,C24,1101.01391
H13,C25,1751.699857
H13,C26,529.088954
H13,C27,1754.383708
H13,C28,962.7831544
H13,C31,698.338198
H13,C29,1589.280894
H13,C30,148.8761737
H14,C1,1296.166256
H14,C2,1373.756118
H14,C3,1328.360748
H14,C4,1409.876549
H14,C5,1616.956479
H14,C6,1429.667168
H14,C8,1618.870332
H14,C9,1052.321937
H14,C10,788.2199939
H14,C11,556.8749187
H14,C12,687.267161
H14,C13,816.5449792
H14,C14,263.6884778
H14,C15,1779.613656
H14,C16,1977.393132
H14,C17,406.2387939
H14,C18,657.0868005
H14,C19,999.1057422
H14,C20,1019.237147
H14,C7,834.8802633
H14,C21,1817.220949
H14,C22,1196.200419
H14,C23,818.6388787
H14,C24,838.9581128
H14,C25,1744.101404
H14,C26,267.0331566
H14,C27,1542.874757
H14,C28,700.727357
H14,C31,706.9931623
H14,C29,1597.935859
H14,C30,352.7719213
H15,C1,1136.798376
H15,C2,1214.388239
H15,C3,1168.992868
H15,C4,1250.50867
H15,C5,1533.955311
H15,C6,1412.45838
H15,C8,1601.661543
H15,C9,892.9540569
H15,C10,628.8521141
H15,C11,397.5070389
H15,C12,527.8992812
H15,C13,657.1770994
H15,C14,104.320598
H15,C15,1762.404868
H15,C16,1960.184344
H15,C17,389.0300055
H15,C18,639.8780121
H15,C19,981.8969538
H15,C20,1002.028358
H15,C7,817.6714749
H15,C21,1800.012161
H15,C22,1178.991631
H15,C23,801.4300903
H15,C24,821.7493244
H15,C25,1600.986942
H15,C26,249.8243682
H15,C27,1525.665968
H15,C28,683.5185686
H15,C31,547.6252825
H15,C29,1438.567979
H15,C30,193.4040415
H16,C1,1212.943118
H16,C2,1290.532981
H16,C3,1245.137611
H16,C4,1326.653412
H16,C5,1543.762583
H16,C6,1356.473273
H16,C8,1545.676436
H16,C9,969.0987994
H16,C10,704.9968566
H16,C11,473.6517814
H16,C12,604.0440237
H16,C13,733.3218419
H16,C14,180.4653405
H16,C15,1706.419761
H16,C16,1904.199236
H16,C17,333.0448983
H16,C18,583.8929049
H16,C19,925.9118466
H16,C20,946.0432512
H16,C7,761.6863677
H16,C21,1744.027053
H16,C22,1123.006523
H16,C23,745.4449831
H16,C24,765.7642172
H16,C25,1670.907509
H16,C26,193.8392611
H16,C27,1469.680861
H16,C28,627.5334615
H16,C31,623.770025
H16,C29,1514.712721
H16,C30,269.548784
H17,C1,1515.530496
H17,C2,1593.120359
H17,C3,1547.724988
H17,C4,1561.788504
H17,C5,1283.187844
H17,C6,1095.898533
H17,C8,1285.101697
H17,C9,1271.686177
H17,C10,1007.584234
H17,C11,776.2391592
H17,C12,906.6314015
H17,C13,1035.90922
H17,C14,483.0527183
H17,C15,1445.845021
H17,C16,1643.624497
H17,C17,66.8999563
H17,C18,249.7122407
H17,C19,591.7311824
H17,C20,685.4685114
H17,C7,501.1116279
H17,C21,1483.452314
H17,C22,795.084676
H17,C23,411.2643188
H17,C24,431.5835529
H17,C25,1410.332769
H17,C26,194.8199397
H17,C27,1209.106122
H17,C28,366.9587217
H17,C31,926.3574028
H17,C29,1493.252667
H17,C30,572.1361618
H18,C1,1586.595099
H18,C2,1664.184962
H18,C3,1618.789591
H18,C4,1632.853107
H18,C5,1354.252446
H18,C6,1166.963135
H18,C8,1356.166299
H18,C9,1342.75078
H18,C10,1078.648837
H18,C11,847.3037619
H18,C12,977.6960042
H18,C13,1106.973822
H18,C14,554.117321
H18,C15,1516.909624
H18,C16,1714.689099
H18,C17,137.964559
H18,C18,218.4169157
H18,C19,560.4358574
H18,C20,756.5331141
H18,C7,572.1762306
H18,C21,1554.516916
H18,C22,763.789351
H18,C23,379.9689939
H18,C24,400.288228
H18,C25,1481.397371
H18,C26,265.8845424
H18,C27,1280.170724
H18,C28,438.0233243
H18,C31,997.4220055
H18,C29,1564.317269
H18,C30,643.2007644
H19,C1,1632.055925
H19,C2,1709.645787
H19,C3,1664.250417
H19,C4,1678.313932
H19,C5,1399.713272
H19,C6,1212.423961
H19,C8,1401.627125
H19,C9,1388.211605
H19,C10,1124.109663
H19,C11,892.7645875
H19,C12,1023.15683
H19,C13,1152.434648
H19,C14,599.5781466
H19,C15,1562.370449
H19,C16,1760.149925
H19,C17,183.4253846
H19,C18,138.3893872
H19,C19,480.408329
H19,C20,801.9939397
H19,C7,617.6370562
H19,C21,1599.977742
H19,C22,683.7618225
H19,C23,299.9414654
H19,C24,320.2606995
H19,C25,1526.858197
H19,C26,311.345368
H19,C27,1325.63155
H19,C28,483.4841499
H19,C31,1042.882831
H19,C29,1609.778095
H19,C30,688.6615901
H20,C1,1831.301301
H20,C2,1908.891164
H20,C3,1863.495794
H20,C4,1877.559309
H20,C5,1598.958649
H20,C6,1411.669338
H20,C8,1600.872502
H20,C9,1587.456982
H20,C10,1323.35504
H20,C11,1092.009964
H20,C12,1222.402207
H20,C13,1351.680025
H20,C14,798.8235236
H20,C15,1761.615826
H20,C16,1959.395302
H20,C17,382.6707616
H20,C18,122.4336138
H20,C19,456.4638631
H20,C20,829.7506065
H20,C7,816.8824332
H20,C21,1799.223119
H20,C22,659.8173567
H20,C23,81.21647378
H20,C24,296.3162337
H20,C25,1726.103574
H20,C26,510.590745
H20,C27,1524.876927
H20,C28,682.7295269
H20,C31,1242.128208
H20,C29,1809.023472
H20,C30,887.906967
H21,C1,2011.114503
H21,C2,2088.704366
H21,C3,2043.308996
H21,C4,2057.372511
H21,C5,1778.771851
H21,C6,1591.48254
H21,C8,1780.685704
H21,C9,1767.270184
H21,C10,1503.168241
H21,C11,1271.823166
H21,C12,1402.215409
H21,C13,1531.493227
H21,C14,978.6367254
H21,C15,1941.429028
H21,C16,2139.208504
H21,C17,562.4839633
H21,C18,302.2468156
H21,C19,636.2770649
H21,C20,1009.563808
H21,C7,996.695635
H21,C21,1979.036321
H21,C22,839.6305585
H21,C23,144.8400473
H21,C24,476.1294354
H21,C25,1905.916776
H21,C26,690.4039468
H21,C27,1704.690129
H21,C28,862.5427287
H21,C31,1421.94141
H21,C29,1988.836674
H21,C30,1067.720169
H22,C1,1937.636451
H22,C2,2015.226314
H22,C3,1969.830944
H22,C4,1983.894459
H22,C5,1705.293799
H22,C6,1518.004488
H22,C8,1707.207652
H22,C9,1693.792132
H22,C10,1429.69019
H22,C11,1198.345114
H22,C12,1328.737357
H22,C13,1458.015175
H22,C14,905.1586736
H22,C15,1867.950976
H22,C16,2065.730452
H22,C17,489.0059115
H22,C18,228.7687638
H22,C19,562.7990131
H22,C20,936.0857565
H22,C7,923.2175832
H22,C21,1905.558269
H22,C22,766.1525067
H22,C23,71.36199551
H22,C24,402.6513836
H22,C25,1832.438724
H22,C26,616.925895
H22,C27,1631.212077
H22,C28,789.0646769
H22,C31,1348.463358
H22,C29,1915.358622
H22,C30,994.242117
H23,C1,1951.25325
H23,C2,2028.843113
H23,C3,1983.447742
H23,C4,1997.511258
H23,C5,1718.910597
H23,C6,1531.621286
H23,C8,1720.82445
H23,C9,1707.408931
H23,C10,1443.306988
H23,C11,1211.961913
H23,C12,1342.354155
H23,C13,1471.631973
H23,C14,918.775472
H23,C15,1881.567775
H23,C16,2079.34725
H23,C17,502.62271
H23,C18,242.3855622
H23,C19,211.0221247
H23,C20,584.3088681
H23,C7,774.4334697
H23,C21,1919.175067
H23,C22,414.3756183
H23,C23,395.948948
H23,C24,56.61540213
H23,C25,1846.055523
H23,C26,630.5426934
H23,C27,1644.828875
H23,C28,802.6814754
H23,C31,1362.080156
H23,C29,1928.97542
H23,C30,1007.858915
H24,C1,2074.66608
H24,C2,2152.255943
H24,C3,2106.860572
H24,C4,2106.150979
H24,C5,1827.550318
H24,C6,1640.261008
H24,C8,1829.464171
H24,C9,1830.821761
H24,C10,1566.719818
H24,C11,1335.374743
H24,C12,1465.766985
H24,C13,1595.044804
H24,C14,1042.188302
H24,C15,1990.207496
H24,C16,2187.986971
H24,C17,626.0355402
H24,C18,365.7983924
H24,C19,225.6216957
H24,C20,598.9084391
H24,C7,789.0330406
H24,C21,2027.814788
H24,C22,428.9751893
H24,C23,519.3617782
H24,C24,180.0282323
