origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
C25,H7,0.5754029,1180.4376535,23.1407599,1204.1538163
C25,H8,0.5754029,1156.2308345,30.5296778,1187.3359152
C25,H9,0.5754029,1171.7073798,21.7951881,1194.0779708
C25,H12,0.5754029,1305.2305134,88.3117969,1394.1177132
C25,H10,0.5754029,1201.8346036,68.1306740,1270.5406806
C25,H11,0.5754029,1247.6977427,47.2239548,1295.4971004
C26,H1,4.4816448,1288.7396078,17.2361439,1310.4573965
C26,H2,4.4816448,1306.7964442,32.4179764,1343.6960654
C26,H3,4.4816448,1313.5293044,15.2977012,1333.3086503
C26,H4,4.4816448,1281.2526387,49.9992527,1335.7335362
C26,H5,4.4816448,717.4456450,33.2086706,755.1359605
C26,H6,4.4816448,637.4725822,27.5230097,669.4772367
C26,H7,4.4816448,754.2310080,23.1407599,781.8534127
C26,H8,4.4816448,730.0241890,30.5296778,765.0355116
C26,H9,4.4816448,713.2351318,21.7951881,739.5119647
C26,H12,4.4816448,846.7582654,88.3117969,939.5517071
C26,H10,4.4816448,743.3623557,68.1306740,815.9746745
C26,H11,4.4816448,789.2254947,47.2239548,840.9310943
C27,H1,3.8596907,683.5159958,17.2361439,704.6118303
C27,H2,3.8596907,701.5728322,32.4179764,737.8504992
C27,H3,3.8596907,708.3056923,15.2977012,727.4630842
C27,H4,3.8596907,676.0290266,49.9992527,729.8879700
C27,H5,3.8596907,1223.3174180,33.2086706,1260.3857794
C27,H6,3.8596907,1143.3443552,27.5230097,1174.7270556
C27,H7,3.8596907,1260.1027811,23.1407599,1287.1032316
C27,H8,3.8596907,1235.8959620,30.5296778,1270.2853305
C27,H9,3.8596907,1003.1876841,21.7951881,1028.8425629
C27,H12,3.8596907,1136.7108177,88.3117969,1228.8823052
C27,H10,3.8596907,1033.3149080,68.1306740,1105.3052726
C27,H11,3.8596907,1079.1780470,47.2239548,1130.2616925
C28,H1,4.6537138,2034.5557758,17.2361439,2056.4456335
C28,H2,4.6537138,2052.6126122,32.4179764,2089.6843024
C28,H3,4.6537138,2059.3454723,15.2977012,2079.2968873
C28,H4,4.6537138,2027.0688066,49.9992527,2081.7217731
C28,H5,4.6537138,1699.6941570,33.2086706,1737.5565415
C28,H6,4.6537138,1619.7210942,27.5230097,1651.8978177
C28,H7,4.6537138,1736.4795200,23.1407599,1764.2739937
C28,H8,4.6537138,1712.2727010,30.5296778,1747.4560926
C28,H9,4.6537138,461.2834817,21.7951881,487.7323836
C28,H12,4.6537138,532.0618324,88.3117969,625.0273431
C28,H10,4.6537138,491.4107056,68.1306740,564.1950934
C28,H11,4.6537138,537.2738446,47.2239548,589.1515133
C31,H1,0.4936167,835.1126989,17.2361439,852.8424595
C31,H2,0.4936167,853.1695353,32.4179764,886.0811284
C31,H3,0.4936167,859.9023955,15.2977012,875.6937134
C31,H4,0.4936167,827.6257298,49.9992527,878.1185992
C31,H5,0.4936167,263.8187361,33.2086706,297.5210235
C31,H6,0.4936167,183.8456733,27.5230097,211.8622997
C31,H7,0.4936167,300.6040991,23.1407599,324.2384757
C31,H8,0.4936167,276.3972801,30.5296778,307.4205746
C31,H9,0.4936167,1351.6363883,21.7951881,1373.9251931
C31,H12,0.4936167,1485.1595219,88.3117969,1573.9649355
C31,H10,0.4936167,1381.7636121,68.1306740,1450.3879029
C31,H11,0.4936167,1427.6267512,47.2239548,1475.3443228
C29,H1,2.2243041,526.3541999,17.2361439,545.8146478
C29,H2,2.2243041,544.4110362,32.4179764,579.0533167
